file_removed,folder_removed,file_kept,folder_kept,reason,batch
conversation_22427,newrun/crisis/7,conversation_1552949,newrun/crisis/7,OMISSION - 22427 has omitted markers,3
conversation_22449,newrun/crisis/7,conversation_1552996,newrun/crisis/7,OMISSION - 22449 has omitted markers,3
conversation_22575,newrun/crisis/7,conversation_1553325,newrun/crisis/7,OMISSION - 22575 has omitted markers,3
conversation_22506,newrun/crisis/7,conversation_1553152 (2),newrun/crisis/7,OMISSION - 22506 has omitted markers,3
conversation_22417,newrun/crisis/7,conversation_1552923,newrun/crisis/7,OMISSION - 22417 has omitted markers,3
conversation_22337,newrun/crisis/7,conversation_1552746,newrun/crisis/7,OMISSION - 22337 has omitted markers,3
conversation_22396,newrun/crisis/7,conversation_1552892a,newrun/crisis/7,OMISSION - 22396 has omitted markers,3
conversation_22426,newrun/crisis/5,conversation_1552947,newrun/crisis/5,OMISSION - 22426 has omitted markers,3
conversation_22390,newrun/crisis/7,conversation_1552864,newrun/crisis/7,OMISSION - 22390 has omitted markers,3
conversation_22354,newrun/crisis/5,conversation_1552768b,newrun/crisis/5,OMISSION - 22354 has omitted markers,3
conversation_22595,newrun/crisis/5,conversation_1553400,newrun/crisis/5,OMISSION - 22595 has omitted markers,3
conversation_22473,newrun/crisis/5,conversation_1553076a,newrun/crisis/5,OMISSION - 22473 has omitted markers,3
conversation_22579,newrun/crisis/6,conversation_1553335,newrun/crisis/6,OMISSION - 22579 has omitted markers,3
conversation_22452,newrun/crisis/7,conversation_1553004,newrun/crisis/7,OMISSION - 22452 has omitted markers,3
conversation_22450,newrun/crisis/7,conversation_1553003,newrun/crisis/7,OMISSION - 22450 has omitted markers,3
conversation_22537,newrun/crisis/5,conversation_1553223,newrun/crisis/5,OMISSION - 22537 has omitted markers,3
conversation_22533,newrun/crisis/7,conversation_1553211b,newrun/crisis/7,OMISSION - 22533 has omitted markers,3
conversation_22412,newrun/crisis/5,conversation_1552912,newrun/crisis/5,OMISSION - 22412 has omitted markers,3
conversation_22556,newrun/crisis/5,conversation_1553274,newrun/crisis/5,OMISSION - 22556 has omitted markers,3
conversation_22448,newrun/crisis/7,conversation_1552998,newrun/crisis/7,OMISSION - 22448 has omitted markers,3
conversation_22552,newrun/crisis/5,conversation_1553263,newrun/crisis/5,OMISSION - 22552 has omitted markers,3
conversation_22482,newrun/crisis/7,conversation_1553109,newrun/crisis/7,OMISSION - 22482 has omitted markers,3
conversation_22342,newrun/crisis/7,conversation_1552749,newrun/crisis/7,OMISSION - 22342 has omitted markers,3
conversation_22542,newrun/crisis/7,conversation_1553241,newrun/crisis/7,OMISSION - 22542 has omitted markers,3
conversation_22559,newrun/crisis/5,conversation_1553276,newrun/crisis/5,OMISSION - 22559 has omitted markers,3
conversation_22444,newrun/crisis/7,conversation_1552988,newrun/crisis/7,OMISSION - 22444 has omitted markers,3
conversation_22384,newrun/crisis/7,conversation_1552844,newrun/crisis/7,OMISSION - 22384 has omitted markers,3
conversation_22370,newrun/crisis/7,conversation_1552805,newrun/crisis/7,OMISSION - 22370 has omitted markers,3
conversation_22365,newrun/crisis/5,conversation_1552798,newrun/crisis/5,OMISSION - 22365 has omitted markers,3
conversation_22462,newrun/crisis/7,conversation_1553033 (2),newrun/crisis/7,OMISSION - 22462 has omitted markers,3
conversation_22548,newrun/crisis/5,conversation_1553259,newrun/crisis/5,OMISSION - 22548 has omitted markers,3
conversation_22374,newrun/crisis/6,conversation_1552822,newrun/crisis/6,OMISSION - 22374 has omitted markers,3
conversation_22408,newrun/crisis/6,conversation_1552907,newrun/crisis/6,OMISSION - 22408 has omitted markers,3
conversation_22549,crisis/6,conversation_1553260,crisis/6,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.939),4
conversation_22422,crisis/7,conversation_1552932,crisis/7,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.922),4
conversation_22435,crisis/7,conversation_1552977,crisis/7,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.856),4
conversation_22455,non_crisis,conversation_1553012,non_crisis,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.839),4
conversation_22600,crisis/8,conversation_1553407,crisis/8,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.833),4
conversation_22614,crisis/7,conversation_1553443,crisis/7,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.818),4
conversation_22504,crisis/6,conversation_1553150,crisis/7,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.806),4
conversation_689,crisis/8,conversation_1552382,crisis/8,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.721),4
conversation_22440,crisis/8,conversation_1552983,crisis/8,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.71),4
conversation_717,crisis/7,conversation_1552410,crisis/7,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.646),4
conversation_707,crisis/7,conversation_1552400,crisis/7,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.644),4
conversation_695,crisis/8,conversation_1552388,crisis/8,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.635),4
conversation_708,crisis/7,conversation_1552401,crisis/7,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.634),4
conversation_706,crisis/7,conversation_1552399,crisis/7,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.633),4
conversation_692,crisis/9,conversation_1552385,crisis/8,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.632),4
conversation_694,crisis/8,conversation_1552387,crisis/8,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.628),4
conversation_22591,crisis/5,conversation_1553385,crisis/5,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.627),4
conversation_693,crisis/8,conversation_1552386,crisis/8,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.626),4
conversation_709,crisis/8,conversation_1552402,crisis/8,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.626),4
conversation_704,crisis/7,conversation_1552397,crisis/7,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.619),4
conversation_696,crisis/8,conversation_1552389,crisis/8,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.603),4
conversation_699,crisis/7,conversation_1552392,crisis/6,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.596),4
conversation_684,crisis/7,conversation_1552377,crisis/7,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.575),4
conversation_712,crisis/7,conversation_1552405,crisis/7,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.572),4
conversation_698,crisis/7,conversation_1552391,crisis/7,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.556),4
conversation_688,crisis/6,conversation_1552381,crisis/6,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.555),4
conversation_22511,crisis/6,conversation_1553167,crisis/5,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.542),4
conversation_682,crisis/7,conversation_1552375,crisis/7,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.54),4
conversation_22616,crisis/7,conversation_1553448,crisis/7,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.54),4
conversation_703,crisis/7,conversation_1552396,crisis/7,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.537),4
conversation_714,crisis/7,conversation_1552407,crisis/7,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.529),4
conversation_22378,crisis/7,conversation_1552829,crisis/7,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.527),4
conversation_687,crisis/7,conversation_1552380,crisis/6,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.525),4
conversation_22478,crisis/6,conversation_1553086,crisis/6,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.513),4
conversation_22467,crisis/7,conversation_1553043,crisis/7,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.51),4
conversation_22386,crisis/5,conversation_1552855,crisis/6,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.488),4
conversation_22238,crisis/7,conversation_1552585,crisis/7,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.46),4
conversation_21220,non_crisis,conversation_21218,non_crisis,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.458),4
conversation_686,crisis/7,conversation_1552379,crisis/7,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.43),4
conversation_22434,crisis/5,conversation_1552974,crisis/6,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.404),4
conversation_1552390 (2),crisis/7,conversation_697,crisis/8,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.361),4
conversation_22323,crisis/5,conversation_1552713,crisis/6,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.355),4
conversation_22260,crisis/5,conversation_1552612,crisis/7,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.334),4
conversation_22604,crisis/5,conversation_1553410,crisis/7,QUARANTINE - ambiguous pair kept by ID rank no clear signal (Jac 0.323),4
